incident,goal,assets,solutions
NDiskMonitor obtains the victim computer name and encrypts the information to send over its C2 channel.,confidentiality,authentication data,multifactor authentication
mericcs.org 221.121.138.141 Domain used for spear phish sender e-mail address and to host malicious documents,confidentiality,running processes,application whitelisting
"The sudoers file, /etc/sudoers, describes which users can run which commands and from which terminals.",confidentiality,authentication data,application whitelisting
"Silence has named its backdoor ""WINWORD.exe"".",confidentiality,users data,data loss prevention
Wizard Spider has used file deletion to remove some modules and configurations from an infected host after use.,availability,networks,endpoint detection and response
"KGH_SPY can save collected system information to a file named ""info"" before exfiltration.",confidentiality,application software,endpoint detection and response
"Previous to macOS 11, adversaries could silently install browser extensions via the command line using the profiles tool to install malicious .mobileconfig files.",confidentiality,users data,stronger key exchange algorithms
menuPass has used net use to conduct connectivity checks to machines.,confidentiality,networks,endpoint detection and response
"Following the compromise of this system, analysts identified FIN6 leveraged stolen credentials to move laterally within the environment using the Windows’ Remote Desktop Protocol (RDP).",confidentiality,authentication data,endpoint detection and response
Olympic Destroyer uses WMI to help propagate itself across a network.,confidentiality,running processes,endpoint detection and response
Siloscape uses Tor to communicate with C2.,confidentiality,authentication data,application whitelisting
BADFLICK has relied upon users clicking on a malicious attachment delivered through spearphishing.,confidentiality,running processes,endpoint detection and response
Mustang Panda has created the registry key HKEY_LOCAL_MACHINE\SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Run\AdobelmdyU to maintain persistence.,integrity,authentication data,application whitelisting
Astaroth uses ActiveX objects for file execution and manipulation.,confidentiality,users data,application whitelisting
Daserf can execute shell commands.,confidentiality,authentication data,access controls
Sibot can decrypt data received from a C2 and save to a file.,confidentiality,application software,application whitelisting
SpicyOmelette has been executed through malicious links within spearphishing emails.,confidentiality,users data,application whitelisting
CallMe exfiltrates data to its C2 server over the same protocol as C2 communications.,confidentiality,users data,data loss prevention
Adversaries may abuse Pre-OS Boot mechanisms as a way to establish persistence on a system.,integrity,running processes,update security patches
FruitFly executes and stores obfuscated Perl scripts.,integrity,users data,endpoint detection and response
njRAT can identify remote hosts on connected networks.,confidentiality,running processes,endpoint detection and response
"Additionally, Rising Sun can decrypt its configuration data at runtime.",confidentiality,networks,access controls
TrickBot can steal passwords from the KeePass open source password manager.,confidentiality,running processes,application whitelisting
Dyre has the ability to create files in a TEMP folder to act as a database to store information.,confidentiality,networks,network segmentation and filtering
"Threat Group-3390 has detached network shares after exfiltrating files, likely to evade detection.",confidentiality,application software,endpoint detection and response
yty packs a plugin with UPX.,integrity,networks,access controls
"For example, if C:\example path precedes C:\Windows\system32 is in the PATH environment variable, a program that is named net.exe and placed in C:\example path will be called instead of the Windows system ""net"" when ""net"" is executed from the command-line.",integrity,operating system,access controls
XAgentOSX contains the getInfoOSX function to return the OS X version as well as the current user.,confidentiality,running processes,endpoint detection and response
Remote Service Session Hijacking differs from use of Remote Services because it hijacks an existing session rather than creating a new session using Valid Accounts.,confidentiality,users data,application whitelisting
Metamorfo uses JavaScript to get the system time.,confidentiality,application software,application whitelisting
Zeus Panda can perform keylogging on the victim’s machine by hooking the functions TranslateMessage and WM_KEYDOWN.,confidentiality,application software,application whitelisting
"Host enumeration and lateral movement After gaining an initial foothold in a compromised environment, the threat actors quickly identify and explore accessible systems",confidentiality,running processes,access controls
WMI is an administration feature that provides a uniform environment to access Windows system components.,confidentiality,users data,data loss prevention
Cobalt Strike can use self signed Java applets to execute signed applet attacks.,integrity,running processes,endpoint detection and response
Taidoor can use TCP for C2 communications.,confidentiality,application software,network segmentation and filtering
Adversaries may use search engines to collect information about victims that can be used during targeting.,confidentiality,running processes,access controls
Turla has used the Registry to store encrypted payloads.,confidentiality,authentication data,access controls
Volgmer can execute commands on the victim's machine.,confidentiality,users data,endpoint detection and response
"Locations where the operating system looks for programs/resources, such as file directories and in the case of Windows the Registry, could also be poisoned to include malicious payloads.",integrity,operating system,access controls
SUPERNOVA has masqueraded as a legitimate SolarWinds DLL.,integrity,application software,application whitelisting
Stored procedures can be invoked via SQL statements to the database using the procedure name or via defined events .,confidentiality,users data,data loss prevention
"Certificate authorities exist that allow adversaries to acquire SSL/TLS certificates, such as domain validation certificates, for free.",confidentiality,networks,firewall rules harden
GOLD SOUTHFIELD has breached Managed Service Providers  to deliver malware to MSP customers.,confidentiality,users data,data loss prevention
Thrip has used WinSCP to exfiltrate data from a targeted organization over FTP.,confidentiality,users data,application whitelisting
"Keylogging is likely to be used to acquire credentials for new access opportunities when OS Credential Dumping efforts are not effective, and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured.",confidentiality,running processes,application whitelisting
OceanSalt can collect the victim’s IP address.,confidentiality,users data,access controls
Another Lazarus Group malware sample checks for the presence of the following Registry key:HKEY_CURRENT_USER\Software\Bitcoin\Bitcoin-Qt.,confidentiality,running processes,endpoint detection and response
Comnie appends a total of 64MB of garbage data to a file to deter any security products in place that may be scanning files on disk.,integrity,running processes,application whitelisting
The group has also used downloaded encrypted payloads over HTTP.,confidentiality,email accounts,disable macros
"The value is derived using the IOService to access the IOPlatformUUID property, which is equivalent to the “Hardware UUID” listed in the system information application, as seen in the Figure 3 screenshot of our analysis system",confidentiality,running processes,network segmentation and filtering
This is common behavior that can be used across different platforms and the network to evade defenses.,confidentiality,networks,network segmentation and filtering
Machete has has relied on users opening malicious links delivered through spearphishing to execute malware.,confidentiality,application software,disable macros
"QakBot can inject itself into processes including explore.exe, Iexplore.exe, and Mobsync.exe.",confidentiality,running processes,application whitelisting
NETWIRE can discover and collect victim system information.,confidentiality,email accounts,application whitelisting
HTTPBrowser deletes its original installer file once installation is complete.,integrity,running processes,data loss prevention
EvilBunny has used time measurements from 3 different APIs before and after performing sleep operations to check and abort if the malware is running in a sandbox.,availability,running processes,application whitelisting
Lokibot has the ability to discover the username on the infected host.,confidentiality,email accounts,network segmentation and filtering
Threat Group-1314 actors spawned shells on remote systems on a victim network to execute commands.,confidentiality,running processes,endpoint detection and response
Adversaries may attempt to get a listing of network connections to or from the compromised system they are currently accessing or from remote systems by querying for information over the network.,confidentiality,application software,application whitelisting
Adversaries may attempt to access cached domain credentials used to allow authentication to occur in the event a domain controller is unavailable.,confidentiality,running processes,endpoint detection and response
Olympic Destroyer will shut down the compromised system after it is done modifying system configuration settings.,availability,running processes,endpoint detection and response
"Adversaries can use purchased domains for a variety of purposes, including for Phishing, Drive-by Compromise, and Command and Control.",confidentiality,authentication data,multifactor authentication
Adversaries may abuse Unix shell commands and scripts for execution.,confidentiality,application software,endpoint detection and response
Subdomain hijacking can occur when organizations have DNS entries that point to non-existent or deprovisioned resources.,confidentiality,running processes,application whitelisting
Daserf can download remote files.,confidentiality,authentication data,multifactor authentication
UNC2452 exploited CVE-2020-0688 against the Microsoft Exchange Control Panel to regain access to a network.,confidentiality,running processes,application whitelisting
down_new has the ability to base64 encode C2 communications.,confidentiality,authentication data,endpoint detection and response
"Adversaries may upload backdoored files, such as application binaries, virtual machine images, or container images, to third-party software stores or repositories .",integrity,application software,endpoint detection and response
JPIN can communicate over FTP.,confidentiality,application software,application whitelisting
Trojan.Karagany can dump passwords and save them into \ProgramData\Mail\MailAg\pwds.txt.,confidentiality,users data,endpoint detection and response
Lucifer can crash a debugger by passing a format string to OutputDebugStringA.,integrity,running processes,application whitelisting
Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts.,confidentiality,authentication data,stronger key exchange algorithms
BackConfig has the ability to use hidden columns in Excel spreadsheets to store executable files or commands for VBA macros.,confidentiality,authentication data,stronger key exchange algorithms
"SUNBURST source code used generic variable names and pre-obfuscated strings, and was likely sanitized of developer comments before being added to SUNSPOT.",confidentiality,users data,endpoint detection and response
"Cobalt Strike can use Base64, URL-safe Base64, or NetBIOS encoding in its C2 traffic.",confidentiality,networks,firewall rules harden
BlackEnergy has removed the watermark associated with enabling the TESTSIGNING boot configuration option by removing the relevant strings in the user32.dll.mui of the system.,integrity,users data,network segmentation and filtering
"Examples include Arp, ipconfig/ifconfig, nbtstat, and route.",confidentiality,email accounts,data loss prevention
GrimAgent has the ability to use HTTP for C2 communications.,confidentiality,running processes,endpoint detection and response
APT12 has attempted to get victims to open malicious Microsoft Word and PDF attachment sent via spearphishing.,confidentiality,running processes,endpoint detection and response
Wiarp creates a backdoor through which remote attackers can create a service.,integrity,running processes,endpoint detection and response
"Security controls such as web content filters may not identify smuggled malicious files inside of HTML/JS files, as the content may be based on typically benign MIME types such as text/plain and/or text/html.",integrity,networks,network segmentation and filtering
 COM execution,confidentiality,users data,endpoint detection and response
"Since the system only executes the first existing file in the listed order, adversaries have used ~/.bash_profile to ensure execution.",integrity,running processes,endpoint detection and response
GALLIUM created high-privileged domain user accounts to maintain access to victim networks.,confidentiality,running processes,endpoint detection and response
PlugX can enumerate and query for information contained within the Windows Registry.,confidentiality,operating system,endpoint detection and response
BOOSTWRITE has used the DWriteCreateFactory function to load additional modules.,integrity,application software,firewall rules harden
"In this case, the technique could be used for privilege escalation from user to administrator or SYSTEM or from administrator to SYSTEM, depending on the program.",availability,users data,access controls
"Machete has used pyobfuscate, zlib compression, and base64 encoding for obfuscation.",confidentiality,networks,network segmentation and filtering
Cuba can query service status using QueryServiceStatusEx function.,confidentiality,email accounts,network segmentation and filtering
VBScript is a default scripting language on Windows hosts and can also be used in place of JavaScript on HTML Application  webpages served to Internet Explorer .,confidentiality,authentication data,data loss prevention
RedLeaves can obtain information about the logged on user both locally and for Remote Desktop sessions.,confidentiality,running processes,endpoint detection and response
OSInfo enumerates local and domain users USBferry can use net user to gather information about local accounts.,confidentiality,application software,application whitelisting
"During the execution preparation phase of a program, the dynamic linker loads specified absolute paths of shared libraries from environment variables and files, such as LD_PRELOAD on Linux or DYLD_INSERT_LIBRARIES on macOS.",integrity,running processes,application whitelisting
Lazarus Group malware SierraBravo-Two generates an email message via SMTP containing information about newly infected victims.,confidentiality,authentication data,endpoint detection and response
ZIRCONIUM has used GitHub to host malware linked in spearphishing e-mails.,confidentiality,email accounts,update security patches
MegaCortex has used code signing certificates issued to fake companies to bypass security controls.,integrity,networks,network segmentation and filtering
"TAINTEDSCRIBE can randomly pick one of five hard-coded IP addresses for C2 communication; if one of the IP fails, it will wait 60 seconds and then try another IP address.",availability,users data,network segmentation and filtering
These files don’t show up when a user browses the file system with a GUI or when using normal commands on the command line.,confidentiality,users data,endpoint detection and response
"In some Linux systems, this is set by default to ""ignoreboth"" which covers both of the previous examples.",confidentiality,running processes,endpoint detection and response
4,confidentiality,users data,data loss prevention
GravityRAT has been delivered via Word documents using DDE for execution.,confidentiality,users data,endpoint detection and response
"One variant of BlackEnergy locates existing driver services that have been disabled and drops its driver component into one of those service's paths, replacing the legitimate executable.",integrity,users data,endpoint detection and response
Several Ke3chang backdoors achieved persistence by adding a Run key.,confidentiality,operating system,endpoint detection and response
HTTPBrowser has used DLL side-loading.,confidentiality,networks,network segmentation and filtering
APT1 listed connected network shares.,confidentiality,networks,network segmentation and filtering
KONNI bypassed UAC with the “AlwaysNotify” settings.,confidentiality,users data,endpoint detection and response
Ramsay can hijack outdated Windows application dependencies with malicious versions of its own DLL payload.,integrity,application software,application whitelisting
"APT32 has also impersonated the legitimate Flash installer file name ""install_flashplayer.exe"".",integrity,running processes,endpoint detection and response
Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.,confidentiality,application software,disable macros
APT41 has also environmentally keyed second stage malware with an RC5 key derived in part from the infected system's volume serial number.,confidentiality,running processes,application whitelisting
A JHUHUGIT variant encodes C2 POST data base64.,integrity,running processes,application whitelisting
Whitefly has used an open-source tool to exploit a known Windows privilege escalation vulnerability  on unpatched computers.,availability,users data,access controls
APT39 has communicated with C2 through files uploaded to and downloaded from DropBox.,confidentiality,operating system,application whitelisting
Encrypting communications using AES and RSA public key cryptography   5,confidentiality,application software,application whitelisting
CookieMiner has used a Unix shell script to run a series of commands targeting macOS.,confidentiality,users data,access controls
Adversaries may bridge network boundaries by modifying a network device’s Network Address Translation  configuration.,confidentiality,users data,data loss prevention
"The module loader can load DLLs:
* via specification of the  DLL pathname in the IMPORT directory;
* via EXPORT forwarded to another DLL, specified with  pathname ;
* via an NTFS junction or symlink program.exe.local with the fully-qualified or relative pathname of a directory containing the DLLs specified in the IMPORT directory or forwarded EXPORTs;
* via &#x3c;file name=""filename.extension"" loadFrom=""fully-qualified or relative pathname""&#x3e; in an embedded or external ""application manifest"".",integrity,application software,application whitelisting
Avaddon looks for and attempts to stop database processes.,integrity,operating system,endpoint detection and response
SoreFang can enumerate domain groups by executing net.exe group /domain.,confidentiality,application software,disable macros
"APT37 injects its malware variant, ROKRAT, into the cmd.exe process.",confidentiality,running processes,endpoint detection and response
Valak has the ability to enumerate running processes on a compromised host.,confidentiality,networks,network segmentation and filtering
"After the C2 information has been collected, BADNEWS leverages HTTP for communication with the remote servers",confidentiality,authentication data,multifactor authentication
POWERSTATS can deobfuscate the main backdoor code.,confidentiality,application software,application whitelisting
HIDEDRV is a rootkit that hides certain operating system artifacts.,confidentiality,running processes,endpoint detection and response
"For example, adversaries may first create a malicious registry Class Identifier  subkey, which uniquely identifies a Component Object Model class object.",integrity,running processes,application whitelisting
"Sykipot injects itself into running instances of outlook.exe, iexplore.exe, or firefox.exe.",confidentiality,email accounts,disable macros
These entries will allow an application to automatically start during the startup of a desktop environment after user logon.,confidentiality,authentication data,stronger key exchange algorithms
TLS callback injection involves manipulating pointers inside a portable executable  to redirect a process to malicious code before reaching the code's legitimate entry point.,integrity,networks,network segmentation and filtering
"By modifying the instructions stored in the system image file, adversaries may either weaken existing defenses or provision new capabilities that the device did not have before.",integrity,application software,application whitelisting
Ursnif has gathered information about running processes.,confidentiality,networks,network segmentation and filtering
Chimera has used net start and net use for system service discovery.,confidentiality,running processes,application whitelisting
BONDUPDATER uses -windowstyle hidden to conceal a PowerShell window that downloads a payload.,confidentiality,users data,disable macros
BlackEnergy injects its DLL component into svchost.exe.,confidentiality,users data,data loss prevention
MuddyWater has used malware that leveraged WMI for execution and querying host information.,confidentiality,running processes,endpoint detection and response
"FIN6 has used scripting to iterate through a list of compromised PoS systems, copy data to a log file, and remove the original data files.",confidentiality,running processes,endpoint detection and response
"The majority of documents used the name “gerry knight” for the author field in the document metadata, and the embedded macros largely used direct IP connections to command and control (C2) servers rather than using domain names",integrity,users data,application whitelisting
HotCroissant can perform dynamic DLL importing and API lookups using LoadLibrary and GetProcAddress on obfuscated strings.,confidentiality,running processes,endpoint detection and response
Dragonfly 2.0 manipulated .lnk files to gather user credentials in conjunction with Forced Authentication.,confidentiality,running processes,endpoint detection and response
TeamTNT has checked for running containers with docker ps and for specific container names with docker inspect.,confidentiality,authentication data,access controls
"The actor has used several notable techniques in these incidents such as sniffing passwords from Wi-Fi traffic, poisoning the NetBIOS Name Service, and spreading laterally via the EternalBlue exploit.  APT28 Uses Malicious Document to Target Hospitality Industry FireEye has uncovered a malicious document sent in spear phishing emails to multiple companies in the hospitality industry, including hotels in at least seven European countries and one Middle Eastern country in early July",confidentiality,operating system,endpoint detection and response
Hancitor has used Base64 to encode malicious links.,confidentiality,running processes,application whitelisting
GALLIUM has used PsExec to move laterally between hosts in the target network.,confidentiality,application software,endpoint detection and response
Audio files may be written to disk and exfiltrated later.,confidentiality,users data,data loss prevention
"Adversaries may purchase or steal SSL/TLS certificates to further their operations, such as encrypting C2 traffic  with Web Protocols or even enabling Adversary-in-the-Middle if the certificate is trusted or otherwise added to the root of trust  Install Root Certificate.",integrity,users data,stronger key exchange algorithms
A OilRig macro has run a PowerShell command to decode file contents.,confidentiality,running processes,endpoint detection and response
"By abusing features of common networking protocols that can determine the flow of network traffic , adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions.",confidentiality,authentication data,multifactor authentication
SodaMaster can identify the username on a compromised host.,confidentiality,email accounts,disable macros
POSHSPY uses a WMI event subscription to establish persistence.,confidentiality,running processes,application whitelisting
HALFBAKED can use WMI queries to gather system information.,confidentiality,users data,endpoint detection and response
APT29 drops a Windows shortcut file for execution.,confidentiality,running processes,access controls
Trojan.Karagany can use Tasklist to collect a list of running tasks.,confidentiality,users data,application whitelisting
TrickBot can identify the groups the user on a compromised host belongs to.,confidentiality,users data,data loss prevention
"Upon opening the attachment , the adversary's payload exploits a vulnerability or directly executes on the user's system.",confidentiality,networks,network segmentation and filtering
NanHaiShu can change Internet Explorer settings to reduce warnings about malware activity.,integrity,application software,update security patches
WellMess can execute command line scripts received from C2.,confidentiality,users data,endpoint detection and response
Crimson can determine when it has been installed on a host for at least 15 days before downloading the final payload.,confidentiality,running processes,application whitelisting
Sandworm Team used a backdoor to enumerate information about the infected system's operating system.,confidentiality,running processes,application whitelisting
"Ramsay has been embedded in documents exploiting CVE-2017-0199, CVE-2017-11882, and CVE-2017-8570.",confidentiality,authentication data,access controls
"In our analysis, the macro is obfuscated, character by character, using the decimal ASCII code",confidentiality,running processes,application whitelisting
BADNEWS encrypts C2 data with a ROR by 3 and an XOR by 0x23.,confidentiality,users data,data loss prevention
APT28 has used a brute-force/password-spray tooling that operated in two modes: in brute-force mode it typically sent over 300 authentication attempts per hour per targeted account over the course of several hours or days.,confidentiality,email accounts,endpoint detection and response
This technique bypasses Windows file access controls as well as file system monitoring tools.,integrity,users data,endpoint detection and response
"An adversary may monitor vulnerability disclosures/databases to understand the state of existing, as well as newly discovered, vulnerabilities.",confidentiality,users data,access controls
BBSRAT has been loaded through DLL side-loading of a legitimate Citrix executable that is set to persist through the Registry Run key location HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\ssonsvr.exe.,integrity,operating system,endpoint detection and response
"Similar to the case of MBR, an adversary who has raw access to the boot drive may overwrite the VBR to divert execution during startup to adversary code.",integrity,users data,endpoint detection and response
"Ecipekac has used a valid, legitimate digital signature to evade detection.",integrity,running processes,endpoint detection and response
Adversaries may leverage the resources of co-opted systems in order to solve resource intensive problems which may impact system and/or hosted service availability.,availability,users data,data loss prevention
WellMess can decode and decrypt data received from C2.,confidentiality,users data,application whitelisting
Wizard Spider has used SMB to drop Cobalt Strike Beacon on a domain controller for lateral movement.,confidentiality,authentication data,endpoint detection and response
"Navigating to the web page manually to view:source reveals the code, which at the time of writing happened to not be obfuscated in any significant way",confidentiality,running processes,endpoint detection and response
PUNCHBUGGY can gather user names.,confidentiality,authentication data,access controls
Ramsay has used HTTP for C2.,confidentiality,application software,endpoint detection and response
WellMess can communicate to C2 with mutual TLS where client and server mutually check certificates.,confidentiality,running processes,endpoint detection and response
APT40 relies heavily on web shells for an initial foothold into an organization,confidentiality,users data,application whitelisting
Dragonfly 2.0 modified the Registry to perform multiple techniques through the use of Reg.,confidentiality,users data,endpoint detection and response
APT12 closely monitors online media related to its tools and operations and reacts when its tools are publicly disclosed,confidentiality,users data,application whitelisting
The TrickBot downloader has used an icon to appear as a Microsoft Word document.,integrity,application software,application whitelisting
Darkhotel has searched for anti-malware strings and anti-virus processes running on the system.,confidentiality,networks,network segmentation and filtering
MoonWind has a command to return a directory listing for a specified directory.,confidentiality,users data,endpoint detection and response
Documents with the Flash exploit managed to evade static defenses and remain undetected as an exploit on VirusTotal,confidentiality,authentication data,multifactor authentication
One variant of Zebrocy uses WMI queries to gather information.,confidentiality,users data,endpoint detection and response
Command and control  information can be encoded using a non-standard data encoding system that diverges from existing protocol specifications.,confidentiality,networks,network segmentation and filtering
RDAT can communicate with the C2 via base32-encoded subdomains.,confidentiality,running processes,endpoint detection and response
Dragonfly 2.0 added newly created accounts to the administrators group to maintain elevated access.,confidentiality,application software,application whitelisting
APT39 has used remote access tools that leverage DNS in communications with C2.,confidentiality,application software,application whitelisting
SeaDuke has been packed with the UPX packer.,confidentiality,authentication data,network segmentation and filtering
"Before exfiltration, Okrum's backdoor has used hidden files to store logs and outputs from backdoor commands.",confidentiality,email accounts,endpoint detection and response
LLMNR is based upon the Domain Name System  format and allows hosts on the same local link to perform name resolution for other hosts.,confidentiality,email accounts,endpoint detection and response
ADVSTORESHELL can list running processes.,confidentiality,running processes,application whitelisting
"Adversaries may also conduct a takeover of an existing botnet, such as redirecting bots to adversary-controlled C2 servers.",integrity,application software,disable macros
MuddyWater has run tools including Browser64 to steal passwords saved in victim web browsers.,confidentiality,running processes,endpoint detection and response
Cobalt Strike can perform pass the hash.,integrity,running processes,endpoint detection and response
"Cardinal RAT can uninstall itself, including deleting its executable.",integrity,running processes,application whitelisting
Patchwork has obfuscated a script with Crypto Obfuscator.,confidentiality,users data,data loss prevention
The Komplex trojan supports file deletion.,integrity,networks,network segmentation and filtering
Crutch has used a hardcoded GitHub repository as a fallback channel.,integrity,users data,network segmentation and filtering
The PowerShell implant used in the Olympics campaign was a stager based on the PowerShell Empire framework that created an encrypted channel to the attacker’s server,confidentiality,networks,network segmentation and filtering
"RTM has distributed its malware via the RIG and SUNDOWN exploit kits, as well as online advertising network Yandex.Direct.",confidentiality,users data,data loss prevention
Sometimes a user's action may be required to open and Deobfuscate/Decode Files or Information for User Execution.,confidentiality,users data,endpoint detection and response
This can occur through social engineering and typically requires user action to grant access.,confidentiality,application software,application whitelisting
These payloads will need to be compiled before execution; typically via native utilities such as csc.exe or GCC/MinGW.,integrity,authentication data,user account control
Chaos conducts brute force attacks against SSH services to gain initial access.,confidentiality,running processes,user account control
Stuxnet removes itself from the system through a DLL export by deleting specific files and stored procedures.,integrity,users data,data loss prevention
"After a container file is extracted and/or mounted, the files contained within them may be treated as local files on disk and run without protections.",confidentiality,users data,disable macros
JHUHUGIT has used COM hijacking to establish persistence by hijacking a class named MMDeviceEnumerator and also by registering the payload as a Shell Icon Overlay handler COM object .,integrity,networks,endpoint detection and response
"A tool can be used for malicious purposes by an adversary, but  were not intended to be used for those purposes .",confidentiality,users data,endpoint detection and response
APT39 has used Ncrack to reveal credentials.,confidentiality,authentication data,endpoint detection and response
"In Figure 9, below, red indicates targeted IP addresses, malware, registrant information, and domains associated with the targeted attack campaign while blue indicates criminal attack IP addresses, malware used, registrant information, and domains:  Figure 9",confidentiality,application software,endpoint detection and response
Adversaries may modify and/or disable security tools to avoid possible detection of their malware/tools and activities.,integrity,operating system,endpoint detection and response
Fox Kitten has named binaries and configuration files svhost and dllhost respectively to appear legitimate.,integrity,users data,data loss prevention
Remexi utilizes Run Registry keys in the HKLM hive as a persistence mechanism.,integrity,users data,data loss prevention
TeamTNT executed Hildegard through the kubelet API run command and by executing commands on running containers.,confidentiality,running processes,endpoint detection and response
Adversaries may abuse the RTLO character as a means of tricking a user into executing what they think is a benign file type.,confidentiality,running processes,endpoint detection and response
jRAT collects information about the OS  as well as system up-time upon receiving a connection from a backdoor.,confidentiality,email accounts,disable macros
SynAck abuses NTFS transactions to launch and conceal malicious processes.,confidentiality,networks,endpoint detection and response
Webshell to maintain access to victim networks.,confidentiality,application software,application whitelisting
Tonto Team has used a first stage web shell after compromising a vulnerable Exchange server.,confidentiality,operating system,endpoint detection and response
Olympic Destroyer uses API calls to enumerate the infected system's ARP table.,integrity,users data,endpoint detection and response
Anchor can self delete its dropper after the malware is successfully deployed.,availability,application software,endpoint detection and response
"Prior to compromising social media accounts, adversaries may conduct Reconnaissance to inform decisions about which accounts to compromise to further their operation.",confidentiality,running processes,application whitelisting
"In others, an adversary may deploy a new container configured without network rules, user limitations, etc.",confidentiality,users data,disable macros
APT33 has used kill dates in their malware to guardrail execution.,integrity,networks,network segmentation and filtering
Remsec can obtain a process list from the victim.,confidentiality,users data,endpoint detection and response
Hildegard has used an IRC channel for C2 communications.,confidentiality,running processes,endpoint detection and response
"gh0st RAT has decrypted and loaded the gh0st RAT DLL into memory, once the initial dropper executable is launched.",confidentiality,application software,disable macros
QakBot has a module that can proxy C2 communications.,confidentiality,running processes,network segmentation and filtering
Adversaries may use a non-application layer protocol for communication between host and C2 server or among infected hosts within a network.,confidentiality,running processes,application whitelisting
ZIRCONIUM has used Dropbox for C2 allowing upload and download of files as well as execution of arbitrary commands.,confidentiality,authentication data,network segmentation and filtering
Some variants of FakeM use SSL to communicate with C2 servers.,confidentiality,networks,network segmentation and filtering
Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain.,confidentiality,application software,endpoint detection and response
APT38  has attempted to lure victims into enabling malicious macros within email attachments.,integrity,users data,endpoint detection and response
Doki was executed through an open Docker daemon API port.,confidentiality,networks,network segmentation and filtering
BabyShark has cleaned up all files associated with the secondary payload execution.,integrity,authentication data,endpoint detection and response
Industroyer can enumerate remote computers in the compromised network.,confidentiality,users data,endpoint detection and response
Kazuar gathers information on the system and local drives.,confidentiality,running processes,application whitelisting
"DLL side-loading has been used to execute BBSRAT through a legitimate Citrix executable, ssonsvr.exe.",integrity,authentication data,disable macros
"Once the second DLL is executed, it gathers information about the victim system’s setup, such as operating system version, and driver and processor information",confidentiality,authentication data,endpoint detection and response
BRONZE BUTLER has used a batch script that adds a Registry Run key to establish malware persistence.,integrity,running processes,endpoint detection and response
The daemon name may be disguised by using a name from a related operating system or benign software  Masquerading.,confidentiality,authentication data,endpoint detection and response
Mosquito runs whoami on the victim’s machine.,confidentiality,networks,network segmentation and filtering
Hildegard has encrypted an ELF file.,integrity,running processes,endpoint detection and response
"Most cloud providers provide various types of storage including persistent, local, and/or ephemeral, with the ephemeral types often reset upon stop/restart of the VM.",confidentiality,users data,data loss prevention
BackConfig has been signed with self signed digital certificates mimicking a legitimate software company.,integrity,application software,application whitelisting
NavRAT writes multiple outputs to a TMP file using the >> method.,integrity,users data,endpoint detection and response
Adversaries may choose not to use malware or tools in conjunction with the legitimate access those credentials provide to make it harder to detect their presence.,confidentiality,users data,disable macros
Cobalt Group has used Remote Desktop Protocol to conduct lateral movement.,confidentiality,authentication data,stronger key exchange algorithms
Adversaries may search public digital certificate data for information about victims that can be used during targeting.,confidentiality,operating system,access controls
SombRAT has the ability to respawn itself using ShellExecuteW and CreateProcessW.,confidentiality,running processes,network segmentation and filtering
CORESHELL C2 messages are encrypted with custom stream ciphers using six-byte or eight-byte keys.,confidentiality,running processes,application whitelisting
Attor has automatically collected data about the compromised system.,confidentiality,users data,data loss prevention
The knowledge of local system permission groups can help adversaries determine which groups exist and which users belong to a particular group.,confidentiality,application software,application whitelisting
SUNSPOT enumerated the Orion software Visual Studio solution directory path.,confidentiality,running processes,application whitelisting
Gazer injects its communication module into an Internet accessible process through which it performs C2.,confidentiality,email accounts,data loss prevention
Dragonfly 2.0 used a batch script to gather folder and file names from victim hosts.,confidentiality,running processes,endpoint detection and response
PowerDuke has a command to list the victim's processes.,confidentiality,running processes,application whitelisting
"Compromising a VPS for use in later stages of the adversary lifecycle, such as Command and Control, can allow adversaries to benefit from the ubiquity and trust associated with higher reputation cloud service providers as well as that added by the compromised third-party.",integrity,running processes,application whitelisting
Zebrocy uses cmd.exe to execute commands on the system.,confidentiality,authentication data,multifactor authentication
Sakula calls cmd.exe to run various DLL files via rundll32.,integrity,users data,stronger key exchange algorithms
StrongPity can use PowerShell to add files to the Windows Defender exclusions list.,integrity,email accounts,multifactor authentication
"Lazarus Group malware uses multiple types of encryption and encoding in its malware files, including AES, Caracachs, RC4, basic XOR with constant 0xA7, and other techniques.",confidentiality,email accounts,endpoint detection and response
InvisiMole can inject its backdoor as a portable executable into a target process.,integrity,operating system,endpoint detection and response
Threat Group-3390 has performed DLL search order hijacking to execute their payload.,integrity,users data,endpoint detection and response
Zeus Panda can take screenshots of the victim’s machine.,confidentiality,users data,endpoint detection and response
"LockerGoga has encrypted files, including core Windows OS files, using RSA-OAEP MGF1 and then demanded Bitcoin be paid for the decryption key.",confidentiality,operating system,endpoint detection and response
"Adversaries may buy, steal, or download exploits that can be used during targeting.",confidentiality,authentication data,multifactor authentication
njRAT can launch a command shell interface for executing commands.,confidentiality,authentication data,endpoint detection and response
